T0,T1,T2,T3,Confidence
T1105,T1187,T1566.001,T1195,1.0
T1105.8,T1187,T1566.001,T1195,0.96675
T1105.7,T1187,T1566.001,T1195,0.96675
T1105,T1056.001.1,T1566.001,T1195,0.88325
T1105,T1003.4,T1566.001,T1195,0.86675
T1572.1,T1187,T1566.001,T1195,0.86675
T1572.3,T1187,T1566.001,T1195,0.86675
T1572.2,T1187,T1566.001,T1195,0.86675
T1573.1,T1187,T1566.001,T1195,0.86675
T1105,T1003.1,T1566.001,T1195,0.86675
T1105,T1003.2,T1566.001,T1195,0.85
T1105,T1003.5,T1566.001,T1195,0.85
T1105.7,T1056.001.1,T1566.001,T1195,0.85
T1105,T1003.3,T1566.001,T1195,0.85
T1105,T1110.001,T1566.001,T1195,0.85
T1105,T1187,T1195,T1195,0.85
T1105,T1187,T1566.001,T1566.001,0.85
T1105.8,T1056.001.1,T1566.001,T1195,0.85
T1105.7,T1003.4,T1566.001,T1195,0.8335
T1105.7,T1003.1,T1566.001,T1195,0.8335
T1105.8,T1003.1,T1566.001,T1195,0.8335
T1105.8,T1003.4,T1566.001,T1195,0.8335
T1105.7,T1187,T1195,T1195,0.81675
T1105.8,T1003.2,T1566.001,T1195,0.81675
T1105.8,T1187,T1195,T1195,0.81675
T1105.8,T1187,T1566.001,T1566.001,0.81675
T1105.7,T1187,T1566.001,T1566.001,0.81675
T1105.7,T1003.2,T1566.001,T1195,0.81675
T1105.7,T1110.001,T1566.001,T1195,0.81675
T1105.7,T1003.5,T1566.001,T1195,0.81675
T1105.7,T1003.3,T1566.001,T1195,0.81675
T1105.8,T1003.3,T1566.001,T1195,0.81675
T1105.8,T1003.5,T1566.001,T1195,0.81675
T1105.8,T1110.001,T1566.001,T1195,0.81675
T1572.1,T1056.001.1,T1566.001,T1195,0.75
T1572.2,T1056.001.1,T1566.001,T1195,0.75
T1572.3,T1056.001.1,T1566.001,T1195,0.75
T1573.1,T1056.001.1,T1566.001,T1195,0.75
T1572.2,T1003.1,T1566.001,T1195,0.7335
T1572.2,T1003.4,T1566.001,T1195,0.7335
T1572.3,T1003.1,T1566.001,T1195,0.7335
T1572.3,T1003.4,T1566.001,T1195,0.7335
T1573.1,T1003.1,T1566.001,T1195,0.7335
T1573.1,T1003.4,T1566.001,T1195,0.7335
T1572.1,T1003.1,T1566.001,T1195,0.7335
T1572.1,T1003.4,T1566.001,T1195,0.7335
T1105,T1056.001.1,T1566.001,T1566.001,0.73325
T1105,T1056.001.1,T1195,T1195,0.73325
T1573.1,T1003.2,T1566.001,T1195,0.71675
T1572.2,T1187,T1566.001,T1566.001,0.71675
T1573.1,T1003.5,T1566.001,T1195,0.71675
T1572.2,T1003.5,T1566.001,T1195,0.71675
T1572.2,T1003.3,T1566.001,T1195,0.71675
T1572.2,T1003.2,T1566.001,T1195,0.71675
T1105,T1003.4,T1566.001,T1566.001,0.71675
T1572.2,T1187,T1195,T1195,0.71675
T1105,T1003.4,T1195,T1195,0.71675
T1572.2,T1110.001,T1566.001,T1195,0.71675
T1572.1,T1110.001,T1566.001,T1195,0.71675
T1572.1,T1003.5,T1566.001,T1195,0.71675
T1573.1,T1110.001,T1566.001,T1195,0.71675
T1572.1,T1003.3,T1566.001,T1195,0.71675
T1572.1,T1003.2,T1566.001,T1195,0.71675
T1572.1,T1187,T1566.001,T1566.001,0.71675
T1572.1,T1187,T1195,T1195,0.71675
T1572.3,T1003.5,T1566.001,T1195,0.71675
T1572.3,T1187,T1566.001,T1566.001,0.71675
T1573.1,T1187,T1566.001,T1566.001,0.71675
T1105,T1003.1,T1195,T1195,0.71675
T1572.3,T1187,T1195,T1195,0.71675
T1572.3,T1003.2,T1566.001,T1195,0.71675
T1572.3,T1003.3,T1566.001,T1195,0.71675
T1105,T1003.1,T1566.001,T1566.001,0.71675
T1573.1,T1003.3,T1566.001,T1195,0.71675
T1572.3,T1110.001,T1566.001,T1195,0.71675
T1573.1,T1187,T1195,T1195,0.71675
T1105,T1003.3,T1195,T1195,0.7
T1105.8,T1056.001.1,T1566.001,T1566.001,0.7
T1105,T1003.5,T1566.001,T1566.001,0.7
T1105,T1003.2,T1566.001,T1566.001,0.7
T1105.7,T1056.001.1,T1195,T1195,0.7
T1105,T1110.001,T1566.001,T1566.001,0.7
T1105.7,T1056.001.1,T1566.001,T1566.001,0.7
T1105,T1003.2,T1195,T1195,0.7
T1105,T1110.001,T1195,T1195,0.7
T1105,T1187,T1195,T1566.001,0.7
T1105,T1003.5,T1195,T1195,0.7
T1105,T1003.3,T1566.001,T1566.001,0.7
T1105.8,T1056.001.1,T1195,T1195,0.7
T1105.7,T1003.4,T1566.001,T1566.001,0.6835
T1105.7,T1003.4,T1195,T1195,0.6835
T1105.7,T1003.1,T1195,T1195,0.6835
T1105.8,T1003.4,T1195,T1195,0.6835
T1105.7,T1003.1,T1566.001,T1566.001,0.6835
T1105.8,T1003.1,T1195,T1195,0.6835
T1105.8,T1003.1,T1566.001,T1566.001,0.6835
T1105.8,T1003.4,T1566.001,T1566.001,0.6835
T1105.7,T1003.3,T1195,T1195,0.66675
T1105.8,T1003.5,T1566.001,T1566.001,0.66675
T1105.8,T1187,T1195,T1566.001,0.66675
T1105.7,T1003.5,T1195,T1195,0.66675
T1105.7,T1110.001,T1195,T1195,0.66675
T1105.7,T1003.2,T1195,T1195,0.66675
T1105.8,T1003.5,T1195,T1195,0.66675
T1105.7,T1003.3,T1566.001,T1566.001,0.66675
T1105.8,T1003.3,T1195,T1195,0.66675
T1105.7,T1003.5,T1566.001,T1566.001,0.66675
T1105.8,T1003.3,T1566.001,T1566.001,0.66675
T1105.8,T1003.2,T1195,T1195,0.66675
T1105.8,T1110.001,T1566.001,T1566.001,0.66675
T1105.7,T1110.001,T1566.001,T1566.001,0.66675
T1105.7,T1187,T1195,T1566.001,0.66675
T1105.8,T1110.001,T1195,T1195,0.66675
T1105.7,T1003.2,T1566.001,T1566.001,0.66675
T1105.8,T1003.2,T1566.001,T1566.001,0.66675
T1572.1,T1056.001.1,T1566.001,T1566.001,0.6
T1572.3,T1056.001.1,T1566.001,T1566.001,0.6
T1573.1,T1056.001.1,T1566.001,T1566.001,0.6
T1572.2,T1056.001.1,T1195,T1195,0.6
T1572.2,T1056.001.1,T1566.001,T1566.001,0.6
T1572.1,T1056.001.1,T1195,T1195,0.6
T1572.3,T1056.001.1,T1195,T1195,0.6
T1573.1,T1056.001.1,T1195,T1195,0.6
T1573.1,T1003.4,T1195,T1195,0.5835
T1572.2,T1003.1,T1195,T1195,0.5835
T1572.1,T1003.1,T1566.001,T1566.001,0.5835
T1572.1,T1003.1,T1195,T1195,0.5835
T1572.2,T1003.4,T1195,T1195,0.5835
T1572.2,T1003.4,T1566.001,T1566.001,0.5835
T1573.1,T1003.4,T1566.001,T1566.001,0.5835
T1572.3,T1003.4,T1195,T1195,0.5835
T1572.3,T1003.1,T1195,T1195,0.5835
T1573.1,T1003.1,T1566.001,T1566.001,0.5835
T1573.1,T1003.1,T1195,T1195,0.5835
T1572.2,T1003.1,T1566.001,T1566.001,0.5835
T1572.1,T1003.4,T1566.001,T1566.001,0.5835
T1572.3,T1003.1,T1566.001,T1566.001,0.5835
T1572.1,T1003.4,T1195,T1195,0.5835
T1572.3,T1003.4,T1566.001,T1566.001,0.5835
T1105,T1056.001.1,T1195,T1566.001,0.5832499999999999
T1573.1,T1003.3,T1566.001,T1566.001,0.56675
T1572.3,T1187,T1195,T1566.001,0.56675
T1572.2,T1110.001,T1195,T1195,0.56675
T1572.3,T1003.5,T1566.001,T1566.001,0.56675
T1572.3,T1003.3,T1566.001,T1566.001,0.56675
T1572.3,T1003.3,T1195,T1195,0.56675
T1572.3,T1003.2,T1195,T1195,0.56675
T1572.3,T1003.2,T1566.001,T1566.001,0.56675
T1572.3,T1003.5,T1195,T1195,0.56675
T1573.1,T1003.3,T1195,T1195,0.56675
T1572.2,T1110.001,T1566.001,T1566.001,0.56675
T1572.2,T1003.5,T1566.001,T1566.001,0.56675
T1572.2,T1003.5,T1195,T1195,0.56675
T1572.1,T1187,T1195,T1566.001,0.56675
T1573.1,T1003.2,T1195,T1195,0.56675
T1573.1,T1110.001,T1195,T1195,0.56675
T1572.1,T1003.2,T1566.001,T1566.001,0.56675
T1572.1,T1003.2,T1195,T1195,0.56675
T1573.1,T1110.001,T1566.001,T1566.001,0.56675
T1572.1,T1003.3,T1566.001,T1566.001,0.56675
T1572.1,T1003.3,T1195,T1195,0.56675
T1572.1,T1003.5,T1566.001,T1566.001,0.56675
T1572.1,T1003.5,T1195,T1195,0.56675
T1105,T1003.4,T1195,T1566.001,0.56675
T1573.1,T1003.2,T1566.001,T1566.001,0.56675
T1572.1,T1110.001,T1566.001,T1566.001,0.56675
T1572.1,T1110.001,T1195,T1195,0.56675
T1573.1,T1187,T1195,T1566.001,0.56675
T1105,T1003.1,T1195,T1566.001,0.56675
T1572.2,T1187,T1195,T1566.001,0.56675
T1572.2,T1003.2,T1566.001,T1566.001,0.56675
T1572.3,T1110.001,T1195,T1195,0.56675
T1572.2,T1003.3,T1566.001,T1566.001,0.56675
T1572.2,T1003.3,T1195,T1195,0.56675
T1573.1,T1003.5,T1195,T1195,0.56675
T1572.3,T1110.001,T1566.001,T1566.001,0.56675
T1573.1,T1003.5,T1566.001,T1566.001,0.56675
T1572.2,T1003.2,T1195,T1195,0.56675
T1105,T1003.5,T1195,T1566.001,0.5499999999999999
T1105.7,T1056.001.1,T1195,T1566.001,0.5499999999999999
T1105.8,T1056.001.1,T1195,T1566.001,0.5499999999999999
T1105,T1110.001,T1195,T1566.001,0.5499999999999999
T1105,T1003.3,T1195,T1566.001,0.5499999999999999
T1105,T1003.2,T1195,T1566.001,0.5499999999999999
T1105.7,T1003.1,T1195,T1566.001,0.5335
T1105.8,T1003.4,T1195,T1566.001,0.5335
T1105.8,T1003.1,T1195,T1566.001,0.5335
T1105.7,T1003.4,T1195,T1566.001,0.5335
T1105.8,T1003.3,T1195,T1566.001,0.5167499999999999
T1105.8,T1110.001,T1195,T1566.001,0.5167499999999999
T1105.8,T1003.5,T1195,T1566.001,0.5167499999999999
T1105.7,T1003.2,T1195,T1566.001,0.5167499999999999
T1105.8,T1003.2,T1195,T1566.001,0.5167499999999999
T1105.7,T1003.3,T1195,T1566.001,0.5167499999999999
T1105.7,T1003.5,T1195,T1566.001,0.5167499999999999
T1105.7,T1110.001,T1195,T1566.001,0.5167499999999999
T1572.3,T1056.001.1,T1195,T1566.001,0.44999999999999996
T1572.2,T1056.001.1,T1195,T1566.001,0.44999999999999996
T1573.1,T1056.001.1,T1195,T1566.001,0.44999999999999996
T1572.1,T1056.001.1,T1195,T1566.001,0.44999999999999996
T1573.1,T1003.4,T1195,T1566.001,0.4335
T1572.2,T1003.1,T1195,T1566.001,0.4335
T1573.1,T1003.1,T1195,T1566.001,0.4335
T1572.3,T1003.1,T1195,T1566.001,0.4335
T1572.1,T1003.1,T1195,T1566.001,0.4335
T1572.1,T1003.4,T1195,T1566.001,0.4335
T1572.2,T1003.4,T1195,T1566.001,0.4335
T1572.3,T1003.4,T1195,T1566.001,0.4335
T1573.1,T1003.3,T1195,T1566.001,0.41674999999999995
T1572.2,T1003.2,T1195,T1566.001,0.41674999999999995
T1572.3,T1110.001,T1195,T1566.001,0.41674999999999995
T1572.1,T1003.2,T1195,T1566.001,0.41674999999999995
T1572.1,T1003.3,T1195,T1566.001,0.41674999999999995
T1572.3,T1003.5,T1195,T1566.001,0.41674999999999995
T1572.1,T1003.5,T1195,T1566.001,0.41674999999999995
T1572.1,T1110.001,T1195,T1566.001,0.41674999999999995
T1573.1,T1003.5,T1195,T1566.001,0.41674999999999995
T1572.3,T1003.3,T1195,T1566.001,0.41674999999999995
T1572.2,T1003.3,T1195,T1566.001,0.41674999999999995
T1573.1,T1003.2,T1195,T1566.001,0.41674999999999995
T1572.2,T1003.5,T1195,T1566.001,0.41674999999999995
T1572.2,T1110.001,T1195,T1566.001,0.41674999999999995
T1572.3,T1003.2,T1195,T1566.001,0.41674999999999995
T1573.1,T1110.001,T1195,T1566.001,0.41674999999999995
